"","draw","site_encoded","Intercept","slope"
"40",3373,"0",3.11398533520238,0.104328214036257
"41",3388,"0",3.0501144168464,0.0989868553188801
"42",3395,"0",2.98594994731951,0.0907141482318318
"43",3417,"0",3.03078843310727,0.0936958169265655
"44",3468,"0",2.81782802511813,0.0919657166373331
"45",3515,"0",3.27080585148934,0.0966128782747459
"46",3846,"0",3.0972334586497,0.0914686086149804
"47",3882,"0",3.23438560251736,0.102227208599362
"48",3888,"0",2.55999477846866,0.0989411246319468
"49",3931,"0",2.9133296957485,0.0958114359287582
"50",3985,"0",2.91485685228042,0.100416142042233
"51",174,"1",2.99446609106173,0.0919935740579445
"52",233,"1",3.00054816811374,0.0928334724295122
"53",566,"1",2.870814190116,0.0877421133545282
"54",641,"1",3.19051556781735,0.0900604299140319
"55",658,"1",3.37748544235653,0.0918544661613617
"56",708,"1",3.23497545135369,0.092816328760241
"57",794,"1",3.01529591006981,0.0856447483959272
"58",820,"1",2.69456778267372,0.0962574626485216
"59",865,"1",2.88816024660196,0.0856738192275072
"60",1008,"1",2.7460371357066,0.0938743881694349
"61",1106,"1",2.75612901045594,0.0883104740984282
"62",1118,"1",3.04502675770791,0.0940538415352594
"63",1340,"1",3.20336394961447,0.094030886920076
"64",1491,"1",2.71344609767004,0.0920875301603985
"65",1494,"1",2.73164808041138,0.0995910609544364
"66",1553,"1",2.79749008987425,0.092719490121523
"67",1560,"1",3.1336431089881,0.0932608507162643
"68",1620,"1",3.07116691276416,0.0988778767602425
"69",1796,"1",2.4223193518516,0.088017996624543
"70",1886,"1",3.00238136019204,0.094302183919326
"71",1957,"1",2.86577931242891,0.100080350588617
"72",1975,"1",3.07955190830891,0.094429412298986
"73",2083,"1",2.98584936619602,0.0870764786569391
"74",2113,"1",2.51883090373953,0.095084880961427
"75",2160,"1",3.07708167461096,0.090617539298317
"76",2397,"1",2.9365410298047,0.0883025208020989
"77",2447,"1",3.14289945606878,0.0882314234944814
"78",2487,"1",2.77126340181616,0.0907785163297746
"79",2543,"1",3.14746273744839,0.0939488246817195
"80",2587,"1",2.92167031401582,0.100182094794913
"81",2610,"1",2.80149369452287,0.0899509692420575
"82",2652,"1",3.40542843200526,0.092404195242874
"83",2690,"1",3.02881695946119,0.093664500236401
"84",2717,"1",2.95243834920588,0.0919935740579445
"85",2721,"1",2.96917223562536,0.0889790173138671
"86",2750,"1",2.97884214247776,0.0998120560546842
"87",2784,"1",2.71085152888885,0.0944467846485292
"88",2790,"1",2.87203255289522,0.0924552207191777
"89",2861,"1",2.70043444390207,0.0996175524881209
"90",3373,"1",3.1056585871894,0.0943133031522689
"91",3388,"1",2.85680633629408,0.0896023874743293
"92",3395,"1",3.44684513228476,0.0889531265415253
"93",3417,"1",3.01651125796874,0.0989645401802122
"94",3468,"1",2.51438421710028,0.0914601110811458
"95",3515,"1",3.17856982895498,0.0921783779923034
"96",3846,"1",2.98620881327759,0.0960047612008626
"97",3882,"1",3.2058078468285,0.0965951051574923
"98",3888,"1",2.55574725543899,0.0962327168743458
"99",3931,"1",3.01778407875401,0.0978348082116813
"100",3985,"1",2.91638078203274,0.0908222754677325
"101",174,"2",3.24224920805574,0.0973203081643396
"102",233,"2",3.42741348310742,0.0865732332203369
"103",566,"2",3.02883732063851,0.0980750103950181
"104",641,"2",3.15401676555243,0.0930616077699872
"105",658,"2",3.40737594822882,0.0957293425669196
"106",708,"2",3.34730627100181,0.0937041719038969
"107",794,"2",2.89960958624927,0.0926965937444196
"108",820,"2",2.70283385559686,0.0935961970170098
"109",865,"2",2.98321026939035,0.0804049720378901
"110",1008,"2",3.16006737376522,0.093184220295384
"111",1106,"2",2.7415771487538,0.0915889655602108
"112",1118,"2",2.96160558089761,0.0932798357155521
"113",1340,"2",3.19807835960568,0.0923936010848097
"114",1491,"2",2.74567977905585,0.0962574626485216
"115",1494,"2",2.7233238020122,0.09666668806738
"116",1553,"2",3.02942185926712,0.0927554896829092
"117",1560,"2",2.95593848723385,0.0981126198197267
"118",1620,"2",3.26201420864379,0.0917167081959384
"119",1796,"2",2.38417808135436,0.0810048669539256
"120",1886,"2",3.15758933746968,0.102948297478168
"121",1957,"2",2.84595579152978,0.0947633012462061
"122",1975,"2",3.28269663720685,0.0969298640489964
"123",2083,"2",3.05952126045061,0.0889296537727745
"124",2113,"2",2.92330265101112,0.093194192672236
